date,catch,Zonal Winds,Meridional Winds,Humidity,Air Temp,Sea Surface Temp
2017-02-09,77.699997,-4.3,-3.7,83.9,28.18,28.86
2017-02-10,77.790001,-4.2,-5.5,83.9,28.06,28.7
2017-02-13,77.769997,-3.3,-5.1,82.2,27.95,28.65
2017-02-14,78.809998,-1.1,-4.2,79.6,27.83,28.74
2017-02-15,80.25,-1.7,-2.7,77.5,27.63,28.85
2017-02-16,80.040001,-3.1,-5.3,83,28.18,28.93
2017-02-17,80.389999,-1.4,-6,82.6,27.95,28.84
2017-02-21,80.360001,-2.9,-4.9,83.5,27.79,28.78
2017-02-22,81.07,-3.3,-3.5,80.9,28.06,28.8
2017-02-23,82.550003,-4.4,-5.9,83.5,28.14,28.71
2017-02-24,82.870003,-3.8,-1.5,82.6,27.87,28.81
2017-02-27,83.059998,-2.2,-3.4,87.7,27.52,28.86
2017-02-28,82.809998,0.4,0.3,84.7,28.18,28.94
2017-03-01,83.849998,-5.2,-0.2,87.7,27.98,28.98
2017-03-02,82.910004,-5.7,0.7,89.4,27.01,28.94
2017-03-03,83.779999,-5.6,-5.5,83.5,28.45,28.69
2017-03-06,83.83000200000001,-3.7,-2.3,90.7,27.09,28.5
2017-03-07,82.739998,1.1,5.8,89.8,27.21,28.37
2017-03-08,83.410004,-3,1.3,87.3,27.67,28.24
2017-03-09,84.550003,-3.1,-0.4,87.3,28.14,28.33
2017-03-10,84.360001,-3.5,-5.4,87.3,28.14,28.54
2017-03-13,84.139999,-5.3,-6.5,87.3,28.22,28.46
2017-03-14,84.459999,-5.2,-5.3,89.8,27.67,28.43
2017-03-15,85.879997,-5.9,-3.6,91.5,27.01,28.66
2017-03-16,84.989998,-6.6,-1.4,89.8,27.83,28.53
2017-03-17,83.959999,-0.9,-0.8,86.9,27.67,28.57
2017-03-20,84.059998,-1.9,-3.7,87.7,27.95,28.67
2017-03-21,83.730003,-0.5,-5.9,87.3,27.79,28.57
2017-03-22,84.360001,-2.4,-6,79.2,27.71,28.49
2017-03-23,84.41999799999999,0.2,-5,80.9,27.56,28.47
2017-03-24,84.18,-0.2,-4.2,79.6,27.48,28.43
2017-03-27,84.239998,-1.4,-0.2,77.1,27.44,28.47
2017-03-28,84.75,-1.2,-0.3,76.7,27.83,28.85
2017-03-29,84.440002,-0.7,-1.5,76.7,27.87,29.06
2017-03-30,84.760002,-2.6,-1.5,80.9,27.36,28.73
2017-03-31,84.110001,-2,-1.2,83,27.21,28.6
2017-04-03,84.449997,-1.3,-0.7,86,26.97,28.62
2017-04-04,86.089996,-4.6,-4.2,82.2,27.87,28.57
2017-04-05,85.629997,-4.5,-2,76.7,27.91,28.39
2017-04-06,85.360001,-5.2,-2.5,78.8,27.83,28.35
2017-04-07,85.32,-6.6,-2.9,82.2,28.1,28.22
2017-04-10,85.470001,-6.8,-2.4,84.3,28.14,28.11
2017-04-11,85.93,-7.1,-3.4,84.3,28.06,28.06
2017-04-12,86.25,-6.7,-3.1,82.2,28.06,28
2017-04-13,85.879997,-5.9,-2,85.2,27.91,28.01
2017-04-17,82.379997,-3.4,-2.8,84.7,27.75,28.09
2017-04-18,81.199997,-4.7,-3.2,85.6,27.83,28.13
2017-04-19,80.889999,-4.2,-4.5,83.5,27.71,28.06
2017-04-20,81.940002,-4.7,-3.6,92.4,26.58,27.96
2017-04-21,81.889999,-2,-4.7,90.7,27.24,27.95
2017-04-24,83.41999799999999,-4.7,3.2,87.7,28.06,28.02
2017-04-25,81.199997,-7.2,-1.5,85.6,27.98,28.01
2017-04-26,80.959999,-4.7,-3.2,81.3,27.63,28.05
2017-04-27,81.33000200000001,-3.2,0.1,84.7,27.48,28.21
2017-04-28,82.059998,-4.9,-0.9,90.3,27.21,28.21
2017-05-01,81.82,-5.7,-0.3,91.1,26.78,28.23
2017-05-02,81.699997,-6.3,0.6,87.7,27.52,28.26
2017-05-03,81.25,-6.9,-1,83,28.18,28.33
2017-05-04,83.040001,-5.9,-3.6,80.9,27.95,28.35
2017-05-05,82.510002,-4,-6.8,84.7,27.05,28.3
2017-05-08,80.66999799999999,-5.5,-6.3,80.1,27.52,28.2
2017-05-09,80.790001,-6.6,-3.9,83.5,27.63,28.12
2017-05-10,81.050003,-7.1,-3.6,89,27.75,28.13
2017-05-11,80.220001,-7.2,-2.4,86,27.91,28.12
2017-05-12,80.190002,-7.3,-3.2,84.7,27.75,28.11
2017-05-15,80.300003,-7.7,-0.6,85.2,27.79,28.07
2017-05-16,78.989998,-6.1,-1.9,83,27.67,28.05
2017-05-17,78.139999,-6.3,-3.7,85.2,27.87,28.01
2017-05-18,78.300003,-7,-5.6,83,27.56,27.98
2017-05-19,77.800003,-8.6,-5,76.7,27.36,27.94
2017-05-22,76.980003,-7.1,-4.4,72.4,27.36,27.9
2017-05-23,77.989998,-7,-5.6,74.1,27.28,27.72
2017-05-24,77.959999,-8,-4.2,78.8,27.36,27.6
2017-05-25,78.339996,-8.7,-6,81.8,27.13,27.56
2017-05-26,78.050003,-9.1,-6.1,79.2,26.78,27.42
2017-05-30,78.349998,-8.4,-5,81.8,26.19,27.33
2017-05-31,79.57,-7.6,-5.1,79.6,26.12,27.28
2017-06-01,79.989998,-8.4,-3,81.8,26.31,27.23
2017-06-02,80.129997,-7,-4.2,82.6,26.43,27.17
2017-06-05,79.349998,-5.3,-4.7,79.6,26.15,27.15
2017-06-06,79.089996,-4.5,-4.7,78.8,25.96,27.1
2017-06-07,79.389999,-6.2,-4.2,83.9,26.23,27.05
2017-06-08,80.099998,-7.2,-5.2,90.3,26.35,27.04
2017-06-09,81.040001,-7.7,-4.9,89,26.58,26.93
2017-06-12,80.900002,-8.7,-5.8,83.9,26.35,26.92
2017-06-13,81.25,-7.5,-6,83.5,26.19,26.74
2017-06-14,81.599998,-7,-6.7,86,26.19,26.54
2017-06-15,82.050003,-6,-6.8,86,26,26.48
2017-06-16,81.879997,-6.7,-4.9,87.3,26.04,26.27
2017-06-19,82.339996,-6.7,-4.9,87.7,25.96,26.21
2017-06-20,82.75,-7.3,-4.8,88.1,25.96,26.13
2017-06-21,82.639999,-8,-2.6,87.3,26.08,26.06
2017-06-22,84.309998,-5.7,-2,88.1,26,26.12
2017-06-23,83.889999,-6.1,-3.2,86.9,25.88,26.1
2017-06-26,84.279999,-6,-4,86.9,25.8,26.05
2017-06-27,83.040001,-6.8,-5.3,82.6,25.73,26.01
2017-06-28,83.099998,-7.4,-5.2,82.6,25.69,25.94
2017-06-29,82.699997,-6.9,-6.5,84.7,25.8,25.91
2017-06-30,82.300003,-6.5,-6.1,83.5,25.73,25.87
2017-07-03,82.699997,-7,-6.7,83.9,25.65,25.8
2017-07-05,82.699997,-8.1,-6.3,83,25.76,25.74
2017-07-06,81.599998,-8,-5.3,79.6,25.61,25.71
2017-07-07,82.290001,-8.7,-4.3,78.8,25.76,25.59
