date,catch,Zonal Winds,Meridional Winds,Humidity,Air Temp,Sea Surface Temp
2017-02-09,73.949997,-4.3,-3.7,83.9,28.18,28.86
2017-02-10,73.480003,-4.2,-5.5,83.9,28.06,28.7
2017-02-13,73.309998,-3.3,-5.1,82.2,27.95,28.65
2017-02-14,72.660004,-1.1,-4.2,79.6,27.83,28.74
2017-02-15,72.66999799999999,-1.7,-2.7,77.5,27.63,28.85
2017-02-16,72.620003,-3.1,-5.3,83,28.18,28.93
2017-02-17,73.739998,-1.4,-6,82.6,27.95,28.84
2017-02-21,72.91999799999999,-2.9,-4.9,83.5,27.79,28.78
2017-02-22,73.800003,-3.3,-3.5,80.9,28.06,28.8
2017-02-23,74.199997,-4.4,-5.9,83.5,28.14,28.71
2017-02-24,74.019997,-3.8,-1.5,82.6,27.87,28.81
2017-02-27,73.790001,-2.2,-3.4,87.7,27.52,28.86
2017-02-28,73.690002,0.4,0.3,84.7,28.18,28.94
2017-03-01,74.089996,-5.2,-0.2,87.7,27.98,28.98
2017-03-02,73.769997,-5.7,0.7,89.4,27.01,28.94
2017-03-03,74.029999,-5.6,-5.5,83.5,28.45,28.69
2017-03-06,74.33000200000001,-3.7,-2.3,90.7,27.09,28.5
2017-03-07,74.550003,1.1,5.8,89.8,27.21,28.37
2017-03-08,74.050003,-3,1.3,87.3,27.67,28.24
2017-03-09,74.540001,-3.1,-0.4,87.3,28.14,28.33
2017-03-10,74.720001,-3.5,-5.4,87.3,28.14,28.54
2017-03-13,75.610001,-5.3,-6.5,87.3,28.22,28.46
2017-03-14,75.58000200000001,-5.2,-5.3,89.8,27.67,28.43
2017-03-15,76.879997,-5.9,-3.6,91.5,27.01,28.66
2017-03-16,77.139999,-6.6,-1.4,89.8,27.83,28.53
2017-03-17,77.470001,-0.9,-0.8,86.9,27.67,28.57
2017-03-20,77.529999,-1.9,-3.7,87.7,27.95,28.67
2017-03-21,77.389999,-0.5,-5.9,87.3,27.79,28.57
2017-03-22,77.769997,-2.4,-6,79.2,27.71,28.49
2017-03-23,77.849998,0.2,-5,80.9,27.56,28.47
2017-03-24,77.889999,-0.2,-4.2,79.6,27.48,28.43
2017-03-27,78.650002,-1.4,-0.2,77.1,27.44,28.47
2017-03-28,77.949997,-1.2,-0.3,76.7,27.83,28.85
2017-03-29,78.029999,-0.7,-1.5,76.7,27.87,29.06
2017-03-30,77.150002,-2.6,-1.5,80.9,27.36,28.73
2017-03-31,76.900002,-2,-1.2,83,27.21,28.6
2017-04-03,76.889999,-1.3,-0.7,86,26.97,28.62
2017-04-04,76.809998,-4.6,-4.2,82.2,27.87,28.57
2017-04-05,76.040001,-4.5,-2,76.7,27.91,28.39
2017-04-06,76.260002,-5.2,-2.5,78.8,27.83,28.35
2017-04-07,74.699997,-6.6,-2.9,82.2,28.1,28.22
2017-04-10,74.769997,-6.8,-2.4,84.3,28.14,28.11
2017-04-11,75.440002,-7.1,-3.4,84.3,28.06,28.06
2017-04-12,76.300003,-6.7,-3.1,82.2,28.06,28
2017-04-13,76.07,-5.9,-2,85.2,27.91,28.01
2017-04-17,76.370003,-3.4,-2.8,84.7,27.75,28.09
2017-04-18,76.349998,-4.7,-3.2,85.6,27.83,28.13
2017-04-19,75.139999,-4.2,-4.5,83.5,27.71,28.06
2017-04-20,75.790001,-4.7,-3.6,92.4,26.58,27.96
2017-04-21,75.75,-2,-4.7,90.7,27.24,27.95
2017-04-24,77.410004,-4.7,3.2,87.7,28.06,28.02
2017-04-25,77.860001,-7.2,-1.5,85.6,27.98,28.01
2017-04-26,77.66999799999999,-4.7,-3.2,81.3,27.63,28.05
2017-04-27,77.870003,-3.2,0.1,84.7,27.48,28.21
2017-04-28,77.0,-4.9,-0.9,90.3,27.21,28.21
2017-05-01,77.190002,-5.7,-0.3,91.1,26.78,28.23
2017-05-02,77.800003,-6.3,0.6,87.7,27.52,28.26
2017-05-03,78.07,-6.9,-1,83,28.18,28.33
2017-05-04,79.849998,-5.9,-3.6,80.9,27.95,28.35
2017-05-05,81.059998,-4,-6.8,84.7,27.05,28.3
2017-05-08,80.400002,-5.5,-6.3,80.1,27.52,28.2
2017-05-09,80.25,-6.6,-3.9,83.5,27.63,28.12
2017-05-10,80.050003,-7.1,-3.6,89,27.75,28.13
2017-05-11,80.089996,-7.2,-2.4,86,27.91,28.12
2017-05-12,81.110001,-7.3,-3.2,84.7,27.75,28.11
2017-05-15,81.610001,-7.7,-0.6,85.2,27.79,28.07
2017-05-16,83.269997,-6.1,-1.9,83,27.67,28.05
2017-05-17,82.809998,-6.3,-3.7,85.2,27.87,28.01
2017-05-18,82.809998,-7,-5.6,83,27.56,27.98
2017-05-19,84.800003,-8.6,-5,76.7,27.36,27.94
2017-05-22,85.279999,-7.1,-4.4,72.4,27.36,27.9
