date,catch,Zonal Winds,Meridional Winds,Humidity,Air Temp,Sea Surface Temp
2017-02-09,269.200012,-4.3,-3.7,83.9,28.18,28.86
2017-02-10,269.230011,-4.2,-5.5,83.9,28.06,28.7
2017-02-13,280.600006,-3.3,-5.1,82.2,27.95,28.65
2017-02-14,280.980011,-1.1,-4.2,79.6,27.83,28.74
2017-02-15,279.76001,-1.7,-2.7,77.5,27.63,28.85
2017-02-16,268.950012,-3.1,-5.3,83,28.18,28.93
2017-02-17,272.230011,-1.4,-6,82.6,27.95,28.84
2017-02-21,277.390015,-2.9,-4.9,83.5,27.79,28.78
2017-02-22,273.51001,-3.3,-3.5,80.9,28.06,28.8
2017-02-23,255.99000499999997,-4.4,-5.9,83.5,28.14,28.71
2017-02-24,257.0,-3.8,-1.5,82.6,27.87,28.81
2017-02-27,246.229996,-2.2,-3.4,87.7,27.52,28.86
2017-02-28,249.99000499999997,0.4,0.3,84.7,28.18,28.94
2017-03-01,250.020004,-5.2,-0.2,87.7,27.98,28.98
2017-03-02,250.479996,-5.7,0.7,89.4,27.01,28.94
2017-03-03,251.57000699999998,-5.6,-5.5,83.5,28.45,28.69
2017-03-06,251.210007,-3.7,-2.3,90.7,27.09,28.5
2017-03-07,248.58999599999999,1.1,5.8,89.8,27.21,28.37
2017-03-08,246.86999500000002,-3,1.3,87.3,27.67,28.24
2017-03-09,244.899994,-3.1,-0.4,87.3,28.14,28.33
2017-03-10,243.690002,-3.5,-5.4,87.3,28.14,28.54
2017-03-13,246.169998,-5.3,-6.5,87.3,28.22,28.46
2017-03-14,258.0,-5.2,-5.3,89.8,27.67,28.43
2017-03-15,255.729996,-5.9,-3.6,91.5,27.01,28.66
2017-03-16,262.049988,-6.6,-1.4,89.8,27.83,28.53
2017-03-17,261.5,-0.9,-0.8,86.9,27.67,28.57
2017-03-20,261.920013,-1.9,-3.7,87.7,27.95,28.67
2017-03-21,250.67999300000002,-0.5,-5.9,87.3,27.79,28.57
2017-03-22,255.00999500000003,-2.4,-6,79.2,27.71,28.49
2017-03-23,254.77999900000003,0.2,-5,80.9,27.56,28.47
2017-03-24,263.160004,-0.2,-4.2,79.6,27.48,28.43
2017-03-27,270.22000099999997,-1.4,-0.2,77.1,27.44,28.47
2017-03-28,277.450012,-1.2,-0.3,76.7,27.83,28.85
2017-03-29,277.380005,-0.7,-1.5,76.7,27.87,29.06
2017-03-30,277.920013,-2.6,-1.5,80.9,27.36,28.73
2017-03-31,278.299988,-2,-1.2,83,27.21,28.6
2017-04-03,298.519989,-1.3,-0.7,86,26.97,28.62
2017-04-04,303.700012,-4.6,-4.2,82.2,27.87,28.57
2017-04-05,295.0,-4.5,-2,76.7,27.91,28.39
2017-04-06,298.700012,-5.2,-2.5,78.8,27.83,28.35
2017-04-07,302.540009,-6.6,-2.9,82.2,28.1,28.22
2017-04-10,312.390015,-6.8,-2.4,84.3,28.14,28.11
2017-04-11,308.709991,-7.1,-3.4,84.3,28.06,28.06
2017-04-12,296.839996,-6.7,-3.1,82.2,28.06,28
2017-04-13,304.0,-5.9,-2,85.2,27.91,28.01
2017-04-17,301.440002,-3.4,-2.8,84.7,27.75,28.09
2017-04-18,300.25,-4.7,-3.2,85.6,27.83,28.13
2017-04-19,305.519989,-4.2,-4.5,83.5,27.71,28.06
2017-04-20,302.51001,-4.7,-3.6,92.4,26.58,27.96
2017-04-21,305.600006,-2,-4.7,90.7,27.24,27.95
2017-04-24,308.02999900000003,-4.7,3.2,87.7,28.06,28.02
2017-04-25,313.790009,-7.2,-1.5,85.6,27.98,28.01
2017-04-26,310.170013,-4.7,-3.2,81.3,27.63,28.05
2017-04-27,308.630005,-3.2,0.1,84.7,27.48,28.21
2017-04-28,314.070007,-4.9,-0.9,90.3,27.21,28.21
2017-05-01,322.829987,-5.7,-0.3,91.1,26.78,28.23
2017-05-02,318.890015,-6.3,0.6,87.7,27.52,28.26
2017-05-03,311.019989,-6.9,-1,83,28.18,28.33
2017-05-04,295.459991,-5.9,-3.6,80.9,27.95,28.35
2017-05-05,308.350006,-4,-6.8,84.7,27.05,28.3
2017-05-08,307.190002,-5.5,-6.3,80.1,27.52,28.2
2017-05-09,321.26001,-6.6,-3.9,83.5,27.63,28.12
2017-05-10,325.22000099999997,-7.1,-3.6,89,27.75,28.13
2017-05-11,323.100006,-7.2,-2.4,86,27.91,28.12
2017-05-12,324.809998,-7.3,-3.2,84.7,27.75,28.11
2017-05-15,315.880005,-7.7,-0.6,85.2,27.79,28.07
2017-05-16,317.01001,-6.1,-1.9,83,27.67,28.05
2017-05-17,306.109985,-6.3,-3.7,85.2,27.87,28.01
2017-05-18,313.059998,-7,-5.6,83,27.56,27.98
2017-05-19,310.829987,-8.6,-5,76.7,27.36,27.94
2017-05-22,310.350006,-7.1,-4.4,72.4,27.36,27.9
2017-05-23,303.859985,-7,-5.6,74.1,27.28,27.72
2017-05-24,310.22000099999997,-8,-4.2,78.8,27.36,27.6
2017-05-25,316.829987,-8.7,-6,81.8,27.13,27.56
2017-05-26,325.140015,-9.1,-6.1,79.2,26.78,27.42
2017-05-30,335.100006,-8.4,-5,81.8,26.19,27.33
2017-05-31,341.01001,-7.6,-5.1,79.6,26.12,27.28
2017-06-01,340.369995,-8.4,-3,81.8,26.31,27.23
2017-06-02,339.850006,-7,-4.2,82.6,26.43,27.17
2017-06-05,347.320007,-5.3,-4.7,79.6,26.15,27.15
2017-06-06,352.850006,-4.5,-4.7,78.8,25.96,27.1
2017-06-07,359.649994,-6.2,-4.2,83.9,26.23,27.05
2017-06-08,370.0,-7.2,-5.2,90.3,26.35,27.04
2017-06-09,357.320007,-7.7,-4.9,89,26.58,26.93
2017-06-12,359.01001,-8.7,-5.8,83.9,26.35,26.92
2017-06-13,375.950012,-7.5,-6,83.5,26.19,26.74
2017-06-14,380.660004,-7,-6.7,86,26.19,26.54
2017-06-15,375.339996,-6,-6.8,86,26,26.48
2017-06-16,371.399994,-6.7,-4.9,87.3,26.04,26.27
2017-06-19,369.799988,-6.7,-4.9,87.7,25.96,26.21
2017-06-20,372.23999,-7.3,-4.8,88.1,25.96,26.13
2017-06-21,376.399994,-8,-2.6,87.3,26.08,26.06
2017-06-22,382.609985,-5.7,-2,88.1,26,26.12
2017-06-23,383.450012,-6.1,-3.2,86.9,25.88,26.1
2017-06-26,377.48999,-6,-4,86.9,25.8,26.05
2017-06-27,362.369995,-6.8,-5.3,82.6,25.73,26.01
2017-06-28,371.23999,-7.4,-5.2,82.6,25.69,25.94
2017-06-29,360.75,-6.9,-6.5,84.7,25.8,25.91
2017-06-30,361.609985,-6.5,-6.1,83.5,25.73,25.87
2017-07-03,352.619995,-7,-6.7,83.9,25.65,25.8
2017-07-05,327.089996,-8.1,-6.3,83,25.76,25.74
2017-07-06,308.829987,-8,-5.3,79.6,25.61,25.71
2017-07-07,313.22000099999997,-8.7,-4.3,78.8,25.76,25.59
2017-07-10,316.049988,-9,-5.3,75,25.76,25.52
2017-07-11,327.22000099999997,-7.8,-5.1,78.4,25.53,25.5
2017-07-12,329.519989,-7.7,-4.9,83.5,25.34,25.45
2017-07-13,323.410004,-6.8,-5.1,88.1,25.41,25.44
2017-07-14,327.77999900000003,-6.4,-5.3,86.9,25.57,25.45
2017-07-17,319.570007,-6.6,-5.3,84.3,25.38,25.43
2017-07-18,328.23999,-6.2,-5.6,79.2,25.41,25.42
2017-07-19,325.26001,-6.4,-5.5,77.1,25.34,25.37
2017-07-20,329.920013,-5.6,-5.5,78.8,25.34,25.36
2017-07-21,328.399994,-6,-5.4,80.1,25.14,25.32
2017-07-24,342.519989,-5.3,-6.3,84.7,25.3,25.5
2017-07-25,339.600006,-6.2,-6.8,86.9,25.34,25.43
2017-07-26,343.850006,-4.5,-6.5,88.6,25.18,25.43
2017-07-27,334.459991,-6.2,-6.8,84.7,25.34,25.94
2017-07-28,335.070007,-5.3,-4.9,81.3,25.49,26.01
2017-07-31,323.47000099999997,-2.8,-6.2,85.6,25.45,26.14
2017-08-01,319.570007,-6.3,-6,77.9,25.3,25.9
2017-08-02,325.890015,-6.6,-4.1,74.5,25.57,26.08
2017-08-03,347.089996,-3.6,-4.6,77.9,25.45,26.36
2017-08-04,356.910004,-4.7,-6.2,78.4,25.14,26.25
2017-08-07,355.170013,-6.6,-5.5,69.4,25.45,26.38
2017-08-08,365.22000099999997,-7.1,-6,73.7,25.61,26.54
2017-08-09,363.52999900000003,-8.8,-6.6,80.9,25.73,26.46
2017-08-10,355.399994,-7.9,-6.3,83.9,25.69,26.5
2017-08-11,357.869995,-8.6,-5.6,78.8,25.88,26.59
2017-08-14,363.799988,-8,-4.1,80.5,25.88,26.68
2017-08-15,362.329987,-7.4,-6.8,83.9,25.76,26.69
2017-08-16,362.910004,-8.4,-5.4,80.9,25.84,26.66
2017-08-17,351.920013,-8.1,-4.8,74.5,26.27,26.82
2017-08-18,347.459991,-5.6,-7.1,77.5,25.53,26.74
2017-08-21,337.859985,-6.5,-5.9,82.6,24.99,26.67
2017-08-22,341.350006,-7.7,-4.9,78.4,25.69,26.71
2017-08-23,352.769989,-7.8,-5.5,75,25.88,26.69
2017-08-24,352.929993,-8.1,-4.7,73.7,26.04,26.82
2017-08-25,348.049988,-6.2,-7.2,83,25.45,26.86
2017-08-28,345.660004,-7.5,-6.2,80.5,25.61,26.91
2017-08-29,347.359985,-5.1,-6.4,75.8,25.76,27.03
2017-08-30,353.179993,-6.1,-6,77.1,25.76,26.98
2017-08-31,355.899994,-7.9,-5.9,80.1,25.84,26.96
