date,catch,Zonal Winds,Meridional Winds,Humidity,Air Temp,Sea Surface Temp
2017-02-09,160.440002,-4.3,-3.7,83.9,28.18,28.86
2017-02-10,160.75,-4.2,-5.5,83.9,28.06,28.7
2017-02-13,161.990005,-3.3,-5.1,82.2,27.95,28.65
2017-02-14,163.130005,-1.1,-4.2,79.6,27.83,28.74
2017-02-15,164.28999299999998,-1.7,-2.7,77.5,27.63,28.85
2017-02-16,163.649994,-3.1,-5.3,83,28.18,28.93
2017-02-17,157.619995,-1.4,-6,82.6,27.95,28.84
2017-02-21,160.570007,-2.9,-4.9,83.5,27.79,28.78
2017-02-22,160.570007,-3.3,-3.5,80.9,28.06,28.8
2017-02-23,162.600006,-4.4,-5.9,83.5,28.14,28.71
2017-02-24,163.059998,-3.8,-1.5,82.6,27.87,28.81
2017-02-27,165.380005,-2.2,-3.4,87.7,27.52,28.86
2017-02-28,165.380005,0.4,0.3,84.7,28.18,28.94
2017-03-01,167.940002,-5.2,-0.2,87.7,27.98,28.98
2017-03-02,167.309998,-5.7,0.7,89.4,27.01,28.94
2017-03-03,168.199997,-5.6,-5.5,83.5,28.45,28.69
2017-03-06,168.699997,-3.7,-2.3,90.7,27.09,28.5
2017-03-07,168.300003,1.1,5.8,89.8,27.21,28.37
2017-03-08,167.91000400000001,-3,1.3,87.3,27.67,28.24
2017-03-09,168.009995,-3.1,-0.4,87.3,28.14,28.33
2017-03-10,169.979996,-3.5,-5.4,87.3,28.14,28.54
2017-03-13,170.21000700000002,-5.3,-6.5,87.3,28.22,28.46
2017-03-14,169.059998,-5.2,-5.3,89.8,27.67,28.43
2017-03-15,171.779999,-5.9,-3.6,91.5,27.01,28.66
2017-03-16,171.300003,-6.6,-1.4,89.8,27.83,28.53
2017-03-17,169.699997,-0.9,-0.8,86.9,27.67,28.57
2017-03-20,168.0,-1.9,-3.7,87.7,27.95,28.67
2017-03-21,167.699997,-0.5,-5.9,87.3,27.79,28.57
2017-03-22,167.029999,-2.4,-6,79.2,27.71,28.49
2017-03-23,165.28999299999998,0.2,-5,80.9,27.56,28.47
2017-03-24,165.0,-0.2,-4.2,79.6,27.48,28.43
2017-03-27,164.600006,-1.4,-0.2,77.1,27.44,28.47
2017-03-28,165.350006,-1.2,-0.3,76.7,27.83,28.85
2017-03-29,163.440002,-0.7,-1.5,76.7,27.87,29.06
2017-03-30,164.990005,-2.6,-1.5,80.9,27.36,28.73
2017-03-31,164.009995,-2,-1.2,83,27.21,28.6
2017-04-03,165.58999599999999,-1.3,-0.7,86,26.97,28.62
2017-04-04,164.970001,-4.6,-4.2,82.2,27.87,28.57
2017-04-05,165.369995,-4.5,-2,76.7,27.91,28.39
2017-04-06,165.33999599999999,-5.2,-2.5,78.8,27.83,28.35
2017-04-07,166.020004,-6.6,-2.9,82.2,28.1,28.22
2017-04-10,165.479996,-6.8,-2.4,84.3,28.14,28.11
2017-04-11,165.830002,-7.1,-3.4,84.3,28.06,28.06
2017-04-12,165.559998,-6.7,-3.1,82.2,28.06,28
2017-04-13,164.96000700000002,-5.9,-2,85.2,27.91,28.01
2017-04-17,167.179993,-3.4,-2.8,84.7,27.75,28.09
2017-04-18,168.58999599999999,-4.7,-3.2,85.6,27.83,28.13
2017-04-19,169.25,-4.2,-4.5,83.5,27.71,28.06
2017-04-20,171.53999299999998,-4.7,-3.6,92.4,26.58,27.96
2017-04-21,171.16000400000001,-2,-4.7,90.7,27.24,27.95
2017-04-24,172.330002,-4.7,3.2,87.7,28.06,28.02
2017-04-25,174.03999299999998,-7.2,-1.5,85.6,27.98,28.01
2017-04-26,174.380005,-4.7,-3.2,81.3,27.63,28.05
2017-04-27,174.630005,-3.2,0.1,84.7,27.48,28.21
2017-04-28,174.880005,-4.9,-0.9,90.3,27.21,28.21
2017-05-01,174.58999599999999,-5.7,-0.3,91.1,26.78,28.23
2017-05-02,174.139999,-6.3,0.6,87.7,27.52,28.26
2017-05-03,172.53999299999998,-6.9,-1,83,28.18,28.33
2017-05-04,174.020004,-5.9,-3.6,80.9,27.95,28.35
2017-05-05,174.119995,-4,-6.8,84.7,27.05,28.3
2017-05-08,174.440002,-5.5,-6.3,80.1,27.52,28.2
2017-05-09,173.240005,-6.6,-3.9,83.5,27.63,28.12
2017-05-10,173.389999,-7.1,-3.6,89,27.75,28.13
2017-05-11,173.320007,-7.2,-2.4,86,27.91,28.12
2017-05-12,171.809998,-7.3,-3.2,84.7,27.75,28.11
2017-05-15,171.529999,-7.7,-0.6,85.2,27.79,28.07
2017-05-16,168.119995,-6.1,-1.9,83,27.67,28.05
2017-05-17,168.860001,-6.3,-3.7,85.2,27.87,28.01
2017-05-18,171.449997,-7,-5.6,83,27.56,27.98
2017-05-19,172.58999599999999,-8.6,-5,76.7,27.36,27.94
2017-05-22,174.699997,-7.1,-4.4,72.4,27.36,27.9
2017-05-23,175.220001,-7,-5.6,74.1,27.28,27.72
2017-05-24,175.58999599999999,-8,-4.2,78.8,27.36,27.6
2017-05-25,178.050003,-8.7,-6,81.8,27.13,27.56
2017-05-26,177.5,-9.1,-6.1,79.2,26.78,27.42
2017-05-30,176.58999599999999,-8.4,-5,81.8,26.19,27.33
2017-05-31,175.179993,-7.6,-5.1,79.6,26.12,27.28
2017-06-01,179.580002,-8.4,-3,81.8,26.31,27.23
2017-06-02,179.389999,-7,-4.2,82.6,26.43,27.17
2017-06-05,179.369995,-5.3,-4.7,79.6,26.15,27.15
2017-06-06,180.820007,-4.5,-4.7,78.8,25.96,27.1
2017-06-07,183.21000700000002,-6.2,-4.2,83.9,26.23,27.05
2017-06-08,181.690002,-7.2,-5.2,90.3,26.35,27.04
2017-06-09,181.46000700000002,-7.7,-4.9,89,26.58,26.93
2017-06-12,179.25,-8.7,-5.8,83.9,26.35,26.92
2017-06-13,181.050003,-7.5,-6,83.5,26.19,26.74
2017-06-14,182.360001,-7,-6.7,86,26.19,26.54
2017-06-15,180.380005,-6,-6.8,86,26,26.48
2017-06-16,181.630005,-6.7,-4.9,87.3,26.04,26.27
2017-06-19,183.020004,-6.7,-4.9,87.7,25.96,26.21
2017-06-20,183.270004,-7.3,-4.8,88.1,25.96,26.13
2017-06-21,184.919998,-8,-2.6,87.3,26.08,26.06
2017-06-22,186.5,-5.7,-2,88.1,26,26.12
2017-06-23,185.25,-6.1,-3.2,86.9,25.88,26.1
2017-06-26,185.119995,-6,-4,86.9,25.8,26.05
2017-06-27,184.600006,-6.8,-5.3,82.6,25.73,26.01
2017-06-28,185.699997,-7.4,-5.2,82.6,25.69,25.94
2017-06-29,185.270004,-6.9,-6.5,84.7,25.8,25.91
2017-06-30,185.419998,-6.5,-6.1,83.5,25.73,25.87
2017-07-03,186.649994,-7,-6.7,83.9,25.65,25.8
2017-07-05,188.25,-8.1,-6.3,83,25.76,25.74
2017-07-06,186.940002,-8,-5.3,79.6,25.61,25.71
2017-07-07,187.96000700000002,-8.7,-4.3,78.8,25.76,25.59
2017-07-10,186.949997,-9,-5.3,75,25.76,25.52
2017-07-11,185.949997,-7.8,-5.1,78.4,25.53,25.5
2017-07-12,186.690002,-7.7,-4.9,83.5,25.34,25.45
2017-07-13,185.479996,-6.8,-5.1,88.1,25.41,25.44
2017-07-14,186.899994,-6.4,-5.3,86.9,25.57,25.45
2017-07-17,186.350006,-6.6,-5.3,84.3,25.38,25.43
2017-07-18,186.850006,-6.2,-5.6,79.2,25.41,25.42
2017-07-19,189.190002,-6.4,-5.5,77.1,25.34,25.37
2017-07-20,191.5,-5.6,-5.5,78.8,25.34,25.36
2017-07-21,191.779999,-6,-5.4,80.1,25.14,25.32
2017-07-24,190.889999,-5.3,-6.3,84.7,25.3,25.5
2017-07-25,190.399994,-6.2,-6.8,86.9,25.34,25.43
2017-07-26,190.75,-4.5,-6.5,88.6,25.18,25.43
2017-07-27,188.929993,-6.2,-6.8,84.7,25.34,25.94
2017-07-28,191.149994,-5.3,-4.9,81.3,25.49,26.01
2017-07-31,191.809998,-2.8,-6.2,85.6,25.45,26.14
2017-08-01,192.229996,-6.3,-6,77.9,25.3,25.9
2017-08-02,193.0,-6.6,-4.1,74.5,25.57,26.08
2017-08-03,194.770004,-3.6,-4.6,77.9,25.45,26.36
2017-08-04,194.880005,-4.7,-6.2,78.4,25.14,26.25
2017-08-07,194.779999,-6.6,-5.5,69.4,25.45,26.38
2017-08-08,194.899994,-7.1,-6,73.7,25.61,26.54
2017-08-09,194.830002,-8.8,-6.6,80.9,25.73,26.46
2017-08-10,192.570007,-7.9,-6.3,83.9,25.69,26.5
2017-08-11,193.020004,-8.6,-5.6,78.8,25.88,26.59
2017-08-14,193.71000700000002,-8,-4.1,80.5,25.88,26.68
2017-08-15,194.5,-7.4,-6.8,83.9,25.76,26.69
2017-08-16,193.770004,-8.4,-5.4,80.9,25.84,26.66
2017-08-17,192.699997,-8.1,-4.8,74.5,26.27,26.82
2017-08-18,190.820007,-5.6,-7.1,77.5,25.53,26.74
2017-08-21,192.029999,-6.5,-5.9,82.6,24.99,26.67
2017-08-22,194.78999299999998,-7.7,-4.9,78.4,25.69,26.71
2017-08-23,194.240005,-7.8,-5.5,75,25.88,26.69
2017-08-24,194.75,-8.1,-4.7,73.7,26.04,26.82
2017-08-25,194.360001,-6.2,-7.2,83,25.45,26.86
2017-08-28,195.08999599999999,-7.5,-6.2,80.5,25.61,26.91
2017-08-29,196.729996,-5.1,-6.4,75.8,25.76,27.03
2017-08-30,195.880005,-6.1,-6,77.1,25.76,26.98
2017-08-31,198.899994,-7.9,-5.9,80.1,25.84,26.96
2017-09-01,199.75,-6.9,-5.9,77.9,25.96,26.92
2017-09-05,199.309998,-6.9,-4.4,76.7,26,26.86
