DATE,DGASUSGULF
2017-07-10,1.466
2017-07-11,1.486
2017-07-12,1.485
2017-07-13,1.495
2017-07-14,1.524
2017-07-17,1.511
2017-07-18,1.526
2017-07-19,1.560
2017-07-20,1.552
2017-07-21,1.499
2017-07-24,1.503
2017-07-25,1.543
2017-07-26,1.562
2017-07-27,1.583
2017-07-28,1.609
2017-07-31,1.639
2017-08-01,1.631
2017-08-02,1.608
2017-08-03,1.623
2017-08-04,1.632
2017-08-07,1.620
2017-08-08,1.601
2017-08-09,1.605
2017-08-10,1.580
2017-08-11,1.599
2017-08-14,1.563
2017-08-15,1.557
2017-08-16,1.542
2017-08-17,1.560
2017-08-18,1.596
2017-08-21,1.553
2017-08-22,1.560
2017-08-23,1.590
2017-08-24,1.654
2017-08-25,1.658
2017-08-28,1.695
2017-08-29,1.749
2017-08-30,1.839
2017-08-31,2.067
2017-09-01,2.006
2017-09-04,.
2017-09-05,1.911
2017-09-06,1.863
2017-09-07,1.793
2017-09-08,1.827
2017-09-11,1.771
2017-09-12,1.795
2017-09-13,1.734
2017-09-14,1.662
2017-09-15,1.675
2017-09-18,1.692
2017-09-19,1.689
2017-09-20,1.666
2017-09-21,1.663
2017-09-22,1.680
2017-09-25,1.713
2017-09-26,1.697
2017-09-27,1.666
2017-09-28,1.672
2017-09-29,1.622
2017-10-02,1.571
2017-10-03,1.579
2017-10-04,1.6
2017-10-05,1.638
2017-10-06,1.577
2017-10-09,1.581
2017-10-10,1.607
2017-10-11,1.624
2017-10-12,1.607
2017-10-13,1.641
2017-10-16,1.639
2017-10-17,1.642
2017-10-18,1.662
2017-10-19,1.646
2017-10-20,1.677
2017-10-23,1.658
2017-10-24,1.7
2017-10-25,1.72
2017-10-26,1.737
2017-10-27,1.765
2017-10-30,1.732
2017-10-31,1.751
2017-11-01,1.761
2017-11-02,1.801
2017-11-03,1.804
2017-11-06,1.851
2017-11-07,1.846
2017-11-08,1.834
2017-11-09,1.817
2017-11-10,1.814
2017-11-13,1.773
2017-11-14,1.74
2017-11-15,1.709
2017-11-16,1.682
2017-11-17,1.686
2017-11-20,1.686
2017-11-21,1.717
2017-11-22,1.726
2017-11-23,.
2017-11-24,1.755
2017-11-27,1.757
2017-11-28,1.733
2017-11-29,1.72
2017-11-30,1.713
2017-12-01,1.729
2017-12-04,1.685
2017-12-05,1.709
2017-12-06,1.653
2017-12-07,1.685
2017-12-08,1.693
2017-12-11,1.702
2017-12-12,1.68
2017-12-13,1.625
2017-12-14,1.637
2017-12-15,1.62
2017-12-18,1.633
2017-12-19,1.665
2017-12-20,1.722
2017-12-21,1.729
2017-12-22,1.751
2017-12-25,.
2017-12-26,1.764
2017-12-27,1.767
2017-12-28,1.773
2017-12-29,1.769
2018-01-01,.
2018-01-02,1.732
2018-01-03,1.779
2018-01-04,1.789
2018-01-05,1.771
2018-01-08,1.779
2018-01-09,1.817
2018-01-10,1.825
2018-01-11,1.825
2018-01-12,1.858
2018-01-15,.
2018-01-16,1.85
2018-01-17,1.875
2018-01-18,1.896
2018-01-19,1.879
2018-01-22,1.905
2018-01-23,1.92
2018-01-24,1.938
2018-01-25,1.921
2018-01-26,1.954
2018-01-29,1.95
2018-01-30,1.899
2018-01-31,1.918
2018-02-01,1.901
2018-02-02,1.865
2018-02-05,1.839
2018-02-06,1.817
2018-02-07,1.772
2018-02-08,1.751
2018-02-09,1.71
2018-02-12,1.682
2018-02-13,1.679
2018-02-14,1.698
2018-02-15,1.732
2018-02-16,1.741
2018-02-19,.
2018-02-20,1.73
2018-02-21,1.708
2018-02-22,1.788
2018-02-23,1.839
2018-02-26,1.861
2018-02-27,1.83
2018-02-28,1.618
2018-03-01,1.749
2018-03-02,1.737
2018-03-05,1.779
2018-03-06,1.758
2018-03-07,1.744
2018-03-08,1.675
2018-03-09,1.698
2018-03-12,1.696
2018-03-13,1.68
2018-03-14,1.813
2018-03-15,1.816
2018-03-16,1.849
2018-03-19,1.839
2018-03-20,1.871
2018-03-21,1.92
2018-03-22,1.912
2018-03-23,1.935
2018-03-26,1.91
2018-03-27,1.91
2018-03-28,1.909
2018-03-29,1.918
2018-03-30,.
2018-04-02,1.873
2018-04-03,1.873
2018-04-04,1.872
2018-04-05,1.871
2018-04-06,1.84
2018-04-09,1.872
2018-04-10,1.945
2018-04-11,1.982
2018-04-12,1.991
2018-04-13,1.994
2018-04-16,1.972
2018-04-17,1.963
2018-04-18,1.997
2018-04-19,2.003
2018-04-20,2.022
2018-04-23,2.019
2018-04-24,2.025
2018-04-25,2.017
2018-04-26,2.041
2018-04-27,2.044
2018-04-30,2.057
2018-05-01,2.015
2018-05-02,1.996
2018-05-03,2.015
2018-05-04,2.033
2018-05-07,2.037
2018-05-08,2.038
2018-05-09,2.082
2018-05-10,2.103
2018-05-11,2.101
2018-05-14,2.121
2018-05-15,2.111
2018-05-16,2.158
2018-05-17,2.151
2018-05-18,2.136
2018-05-21,2.163
2018-05-22,2.161
2018-05-23,2.164
2018-05-24,2.143
2018-05-25,2.079
2018-05-28,.
2018-05-29,2.051
2018-05-30,2.092
2018-05-31,2.065
2018-06-01,2.048
2018-06-04,2.034
2018-06-05,2.016
