date,negative,positive
2010-01-14,8,8
2010-01-26,17,11
2010-05-06,8,11
2010-07-01,0,3
2010-07-03,16,12
2010-08-18,0,5
2010-08-21,15,15
2010-10-01,10,7
2010-10-19,10,13
2011-02-16,1,3
2011-03-15,15,7
2011-04-20,6,7
2011-04-25,6,8
2011-05-08,0,4
2011-07-29,4,9
2011-08-19,8,6
2011-11-03,10,8
2011-11-13,14,9
2012-02-10,15,27
2012-05-12,2,6
2012-08-01,14,23
2012-10-29,18,28
2013-01-30,8,7
2013-04-25,6,6
2013-05-06,8,16
2013-08-01,4,18
2013-10-08,18,11
2013-11-08,11,26
2013-11-22,0,3
2013-12-11,2,6
2013-12-17,16,15
2014-01-16,1,3
2014-02-12,6,3
2014-02-18,8,8
2014-03-31,3,2
2014-04-01,4,7
2014-04-02,5,8
2014-04-03,3,6
2014-04-24,3,13
2014-06-06,2,1
2014-06-24,3,3
2014-07-31,9,15
2014-08-11,4,5
2014-08-13,34,54
2014-09-06,14,35
2014-09-19,8,25
2014-09-26,7,9
2014-10-16,11,13
2014-10-30,1,2
2014-12-05,6,5
2014-12-14,11,10
2014-12-31,9,25
2015-01-05,10,8
2015-01-30,4,5
2015-02-13,4,12
2015-03-11,5,9
2015-03-25,8,4
2015-04-17,9,20
2015-04-23,7,10
2015-05-06,38,39
2015-05-12,5,15
2015-05-19,5,12
2015-05-28,8,4
2015-06-01,6,5
2015-06-09,8,17
2015-06-15,8,4
2015-06-23,2,4
2015-06-24,4,3
2015-06-26,16,18
2015-07-03,7,10
2015-07-08,57,74
2015-07-15,3,5
2015-07-21,17,25
2015-07-25,8,10
2015-07-29,4,4
2015-07-31,4,1
2015-08-24,30,53
2015-08-25,15,18
2015-08-27,13,13
2015-09-02,14,16
2015-09-08,6,13
2015-09-09,21,8
2015-09-24,2,0
2015-09-25,15,7
2015-09-27,9,4
2015-09-28,10,20
2015-09-30,21,32
2015-10-28,6,6
2015-11-10,14,10
2016-01-03,3,16
2016-01-07,25,29
2016-01-09,20,10
2016-01-11,2,10
2016-01-12,32,25
2016-01-20,20,17
2016-01-21,17,18
2016-01-22,15,21
2016-01-25,6,11
2016-02-01,8,10
2016-02-02,3,8
2016-02-05,8,16
2016-02-07,13,11
2016-02-09,8,3
2016-02-10,0,3
2016-02-11,19,14
2016-02-12,1,4
2016-02-20,11,20
2016-02-23,9,14
2016-02-24,7,6
2016-03-01,1,10
2016-03-03,5,18
2016-03-13,5,9
2016-03-17,2,14
2016-03-19,17,14
2016-03-22,4,13
2016-03-25,3,11
2016-04-05,6,11
2016-04-09,56,83
2016-04-11,2,8
2016-04-19,25,15
2016-04-27,6,9
2016-04-29,1,10
2016-05-01,0,6
2016-05-08,2,12
2016-05-18,44,34
2016-06-07,7,5
2016-06-13,10,6
2016-06-14,3,2
2016-06-18,14,11
2016-06-22,6,7
2016-06-24,45,49
2016-06-27,3,4
2016-07-11,4,4
2016-07-12,5,13
2016-07-13,14,14
2016-07-14,3,11
2016-07-25,10,11
2016-08-03,2,10
2016-08-16,0,2
2016-08-17,11,10
2016-08-22,0,12
2016-09-29,38,25
2016-09-30,12,35
2016-10-08,6,12
2016-10-15,6,6
2016-10-17,0,4
2016-10-26,2,10
2016-11-04,5,3
2016-11-06,10,5
2016-11-07,12,30
2016-11-09,15,31
2016-11-14,5,6
2016-11-21,5,15
2016-12-02,40,60
2016-12-04,7,15
2016-12-08,1,19
2016-12-09,0,2
2016-12-14,24,18
2016-12-17,17,7
2016-12-21,10,11
2016-12-22,18,22
2016-12-27,4,2
2016-12-28,3,9
2016-12-29,16,15
2017-01-03,32,56
2017-01-04,30,68
2017-01-05,12,30
2017-01-06,7,7
2017-01-07,7,7
2017-01-10,34,53
2017-01-11,10,24
2017-01-12,14,12
2017-01-13,9,42
2017-01-14,11,5
2017-01-15,2,3
2017-01-17,21,19
2017-01-18,34,57
2017-01-19,16,10
2017-01-20,11,20
2017-01-22,6,8
2017-01-23,14,15
2017-01-24,22,18
2017-01-25,26,21
2017-01-26,14,24
2017-01-29,6,4
2017-01-30,12,19
2017-01-31,27,32
2017-02-01,16,28
2017-02-02,16,37
2017-02-03,16,23
2017-02-05,3,9
2017-02-06,12,35
2017-02-07,41,79
2017-02-08,37,34
2017-02-09,17,12
2017-02-10,47,65
2017-02-13,2,3
2017-02-14,16,42
2017-02-15,42,80
2017-02-16,28,67
2017-02-17,6,21
2017-02-18,6,10
2017-02-19,7,9
2017-02-20,7,24
2017-02-21,36,49
2017-02-22,8,30
2017-02-23,23,48
2017-02-24,1,2
2017-02-25,1,2
2017-02-26,12,18
2017-02-27,4,3
2017-02-28,48,58
2017-03-01,27,87
2017-03-02,60,99
2017-03-03,27,27
2017-03-04,11,9
2017-03-05,5,16
2017-03-06,22,33
2017-03-07,46,79
2017-03-08,36,63
2017-03-09,56,53
2017-03-10,16,33
2017-03-12,25,53
2017-03-13,11,27
2017-03-14,5,14
2017-03-15,51,64
2017-03-16,37,59
2017-03-17,29,34
2017-03-20,23,26
2017-03-21,25,50
2017-03-23,21,8
2017-03-25,13,41
2017-03-27,18,30
2017-03-28,30,49
2017-03-29,61,71
2017-03-30,37,65
2017-03-31,26,47
2017-04-02,14,4
2017-04-03,27,46
2017-04-04,10,10
2017-04-05,31,39
2017-04-06,30,62
2017-04-07,24,28
2017-04-09,29,42
2017-04-10,13,36
2017-04-11,26,49
2017-04-12,1,8
2017-04-13,8,12
2017-04-14,37,52
2017-04-16,6,15
2017-04-17,10,7
2017-04-18,8,16
2017-04-19,10,5
2017-04-23,8,10
2017-04-24,24,21
2017-04-25,5,3
2017-04-26,32,37
2017-04-27,16,41
2017-04-28,26,80
2017-04-29,1,7
2017-05-01,3,4
2017-05-02,30,41
2017-05-03,32,57
2017-05-04,67,102
2017-05-05,6,22
2017-05-07,38,101
2017-05-08,20,17
2017-05-09,26,49
2017-05-10,33,52
