DATE,DHHNGSP
2017-07-10,2.92
2017-07-11,2.98
2017-07-12,3.01
2017-07-13,2.96
2017-07-14,2.94
2017-07-17,3.04
2017-07-18,3.11
2017-07-19,3.11
2017-07-20,3.12
2017-07-21,3.06
2017-07-24,2.99
2017-07-25,2.99
2017-07-26,2.92
2017-07-27,2.95
2017-07-28,2.96
2017-07-31,2.87
2017-08-01,2.8
2017-08-02,2.8
2017-08-03,2.76
2017-08-04,2.76
2017-08-07,2.8
2017-08-08,2.81
2017-08-09,2.81
2017-08-10,2.89
2017-08-11,2.96
2017-08-14,3.02
2017-08-15,2.96
2017-08-16,2.94
2017-08-17,2.91
2017-08-18,2.9
2017-08-21,3.0
2017-08-22,3.0
2017-08-23,2.94
2017-08-24,2.97
2017-08-25,2.93
2017-08-28,2.95
2017-08-29,2.95
2017-08-30,2.95
2017-08-31,2.92
2017-09-01,2.88
2017-09-04,2.88
2017-09-05,2.88
2017-09-06,2.98
2017-09-07,2.92
2017-09-08,2.88
2017-09-11,2.88
2017-09-12,2.88
2017-09-13,3.02
2017-09-14,3.03
2017-09-15,3.0
2017-09-18,3.11
2017-09-19,3.18
2017-09-20,3.13
2017-09-21,3.11
2017-09-22,2.93
2017-09-25,2.96
2017-09-26,2.96
2017-09-27,2.98
2017-09-28,2.96
2017-09-29,2.94
2017-10-02,2.94
2017-10-03,2.73
2017-10-04,2.8
2017-10-05,2.8
2017-10-06,2.93
2017-10-09,2.87
2017-10-10,2.89
2017-10-11,2.89
2017-10-12,2.95
2017-10-13,2.99
2017-10-16,2.87
2017-10-17,2.88
2017-10-18,2.81
2017-10-19,2.83
2017-10-20,2.8
2017-10-23,2.95
2017-10-24,2.95
2017-10-25,2.98
2017-10-26,2.91
2017-10-27,2.78
2017-10-30,2.94
2017-10-31,2.84
2017-11-01,2.68
2017-11-02,2.68
2017-11-03,2.75
2017-11-06,3.01
2017-11-07,3.07
2017-11-08,3.16
2017-11-09,3.18
2017-11-10,3.17
2017-11-13,3.13
2017-11-14,3.06
2017-11-15,3.16
2017-11-16,3.09
2017-11-17,3.04
2017-11-20,3.04
2017-11-21,3.05
2017-11-22,3.05
2017-11-23,3.05
2017-11-24,3.05
2017-11-27,2.88
2017-11-28,2.88
2017-11-29,3.06
2017-11-30,3.06
2017-12-01,2.84
2017-12-04,2.91
2017-12-05,2.86
2017-12-06,2.86
2017-12-07,2.81
2017-12-08,2.78
2017-12-11,2.81
2017-12-12,2.87
2017-12-13,2.87
2017-12-14,2.69
2017-12-15,2.6
2017-12-18,2.71
2017-12-19,2.75
2017-12-20,2.72
2017-12-21,2.64
2017-12-22,2.63
2017-12-25,.
2017-12-26,2.68
2017-12-27,2.76
2017-12-28,2.97
2017-12-29,3.69
2018-01-01,.
2018-01-02,6.24
2018-01-03,6.24
2018-01-04,4.65
2018-01-05,.
2018-01-08,2.89
2018-01-09,2.93
2018-01-10,3.16
2018-01-11,3.16
2018-01-12,4.06
2018-01-15,.
2018-01-16,5.46
2018-01-17,3.92
2018-01-18,3.92
2018-01-19,3.2
2018-01-22,3.13
2018-01-23,3.35
2018-01-24,3.54
2018-01-25,3.54
2018-01-26,3.58
2018-01-29,3.6
2018-01-30,3.6
2018-01-31,3.34
2018-02-01,3.06
2018-02-02,2.91
2018-02-05,2.85
2018-02-06,2.75
2018-02-07,2.74
2018-02-08,2.74
2018-02-09,2.66
2018-02-12,2.6
2018-02-13,2.58
2018-02-14,2.53
2018-02-15,2.49
2018-02-16,2.49
2018-02-19,.
2018-02-20,2.61
2018-02-21,2.65
2018-02-22,2.65
2018-02-23,2.58
2018-02-26,2.6
2018-02-27,2.59
2018-02-28,2.66
2018-03-01,2.67
2018-03-02,2.67
2018-03-05,2.7
2018-03-06,2.7
2018-03-07,2.8
2018-03-08,2.8
2018-03-09,2.71
2018-03-12,2.78
2018-03-13,2.76
2018-03-14,2.69
2018-03-15,2.7
2018-03-16,2.62
2018-03-19,2.62
2018-03-20,2.71
2018-03-21,2.74
2018-03-22,2.62
2018-03-23,2.58
2018-03-26,2.63
2018-03-27,2.6
2018-03-28,2.64
2018-03-29,2.81
2018-03-30,.
2018-04-02,2.75
2018-04-03,2.75
2018-04-04,2.81
2018-04-05,2.81
2018-04-06,2.81
2018-04-09,2.78
2018-04-10,2.78
2018-04-11,2.74
2018-04-12,2.76
2018-04-13,2.82
2018-04-16,2.88
2018-04-17,2.84
2018-04-18,2.85
2018-04-19,2.8
2018-04-20,2.78
2018-04-23,2.78
2018-04-24,2.79
2018-04-25,2.81
2018-04-26,2.81
2018-04-27,2.82
2018-04-30,2.75
2018-05-01,2.75
2018-05-02,2.77
2018-05-03,2.75
2018-05-04,2.75
2018-05-07,2.74
2018-05-08,2.77
2018-05-09,2.75
2018-05-10,2.78
2018-05-11,2.75
2018-05-14,2.84
2018-05-15,2.83
2018-05-16,2.85
2018-05-17,2.75
2018-05-18,2.75
2018-05-21,2.77
2018-05-22,2.76
2018-05-23,2.89
2018-05-24,2.88
2018-05-25,2.88
2018-05-28,.
2018-05-29,2.84
2018-05-30,2.83
2018-05-31,2.94
2018-06-01,2.91
2018-06-04,2.89
2018-06-05,2.89
2018-06-06,2.89
2018-06-07,3.02
2018-06-08,2.91
2018-06-11,3.0
2018-06-12,2.98
2018-06-13,2.98
2018-06-14,2.99
2018-06-15,3.02
2018-06-18,2.99
2018-06-19,2.95
2018-06-20,2.96
2018-06-21,3.08
2018-06-22,2.95
2018-06-25,2.96
2018-06-26,2.98
2018-06-27,3.01
2018-06-28,2.99
2018-06-29,2.96
2018-07-02,2.9
2018-07-03,2.9
2018-07-04,.
2018-07-05,2.91
2018-07-06,2.91
2018-07-09,2.9
